"Nachname";"ID";"Partei"
"Faeser";"999990119";"SPD"
"Pistorius";"999990093";"SPD"
"Geywitz";"999990120";"SPD"
"Rehlinger";"999990133";"SPD"
"Rhein";"999990150";"CDU/CSU"
"Badenberg";"999990144";"CDU/CSU"
"Söder";"999990147";"CDU/CSU"
"Kukies";"999990146";"SPD"
"Pegel";"999990145";"SPD"
"Daimagüler";"999990141";"fraktionslos"
"Gentges";"999990143";"CDU/CSU"
"Poseck";"999990138";"CDU/CSU"
"Schulze";"999990074";"SPD"
"Schweitzer";"999990149";"SPD"
"Weil";"999990148";"SPD"
"Schmidt";"999990121";"Bündnis90/Die Grünen"
"Behrens";"999990136";"SPD"
"Sinemus";"999990140";"CDU/CSU"
"Jarasch";"999990137";"Bündnis90/Die Grünen"
"Mende Kreck";"999990134";"SPD"
"Steinbach";"999990131";"AfD"
"Haseloff";"999990094";"CDU/CSU"
"Spiegel";"999990122";"Bündnis90/Die Grünen"
"Stamp";"999990078";"FDP"
"Woidke";"999990082";"SPD"
"Tschentscher";"999990113";"SPD"
"Klein";"999990111";"CDU/CSU"
"Giffey";"999990071";"SPD"
"Maier";"999990103";"AfD"
"Dreyer";"999990102";"SPD"
"Dusel";"999990080";"fraktionslos"
"Meier";"999990100";"CDU/CSU"
"Schwesig";"999990099";"SPD"
"Backhaus";"999990098";"SPD"
"Kramp-Karrenbauer";"999990083";"CDU/CSU"
"Eisenreich";"999990095";"CDU/CSU"
"Hoff";"999990091";"Die Linke."
"Breitenbach";"999990090";"Die Linke."
"Scholz";"999990073";"SPD"
"Seehofer";"999990075";"CDU/CSU"
"Bartels";"999990006";"SPD"
"Klöckner";"999990072";"CDU/CSU"
"Wissing";"999990079";"FDP"
"Dulig";"999990077";"SPD"
"Geisel";"999990076";"SPD"
"Bentele";"999990050";"VdK-Chefin"
"de Rugy";"999999986755";"franz_Poltiker_zu_Gast"
"Altmaier";"XXX";"CDU/CSU"
"Maas";"999990001";"SPD"
"Wanka";"999990030";"CDU/CSU"
"Bouffier";"999990063";"CDU/CSU"
"Remmel";"999990051";"Bündnis90/Die Grünen"
"Kretschmann";"999990061";"Bündnis90/Die Grünen"
"Gauck";"999951000";"fraktionslos"
"Fritsche";"999990013";"CDU/CSU"
"Heilmann";"999990055";"CDU/CSU"
"Groschek";"999990053";"SPD"
"Walter-Borjans";"999990052";"SPD"
"Gall";"999990041";"SPD"
"Jäger";"999990040";"AfD"
"Lies";"999990291";"SPD"
"Werner";"999990377";"SPD"
"Widmann-Mauz";"999990124";"CDU/CSU"
"Ferlemann";"999990127";"CDU/CSU"
"Lösekrug-Möller";"999990109";"SPD"
"Krings";"999990112";"CDU/CSU"
"Brauksiepe";"999990116";"CDU/CSU"
"Markov";"999990238";"Die Linke."
"Meyer";"999990349";"FDP"
"Müller";"999990106";"SPD"
"Lambrecht";"11003167";"SPD"
"Scholz";"11003231";"SPD"
"Klöckner";"11003566";"CDU/CSU"
"Kramp-Karrenbauer";"11003023";"CDU/CSU"
"Seehofer";"11002140";"CDU/CSU"
